Season,Pos,Team,Winner,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
2000-01,1,Zamalek,Zamalek,26,20,5,1,54,18,36,65,Qualification for 2002 CAF Champions League
2000-01,2,Al Ahly,Zamalek,26,17,6,3,42,17,25,57,Qualification for 2002 CAF Champions League
2000-01,3,Al Masry,Zamalek,26,11,13,2,36,17,19,46,Qualification for 2002 CAF Cup
2000-01,4,Ismaily,Zamalek,26,11,10,5,32,19,13,43,Not Applicable
2000-01,5,El Qanah,Zamalek,26,11,9,6,26,18,8,42,Not Applicable
2000-01,6,El Mansoura SC,Zamalek,26,10,6,10,27,25,2,36,Not Applicable
2000-01,7,Maaden,Zamalek,26,8,9,9,35,32,3,33,Not Applicable
2000-01,8,Al Mokawloon Al Arab,Zamalek,26,8,8,10,26,29,-3,32,Not Applicable
2000-01,9,Al Itthad Al Sakandary,Zamalek,26,8,5,13,27,40,-3,29,Not Applicable
2000-01,10,Ghazl El Mahalla,Zamalek,26,5,13,8,18,23,-5,28,Qualification for 2002 African Cup Winners' Cup
2000-01,11,Tersana,Zamalek,26,6,9,11,33,45,-12,27,Not Applicable
2000-01,12,Dina Farms,Zamalek,26,6,7,13,23,35,-12,25,Relegation to the Second Division
2000-01,13,El Koroum,Zamalek,26,1,10,15,18,42,-24,13,Relegation to the Second Division
2000-01,14,Sohag Railways,Zamalek,26,2,6,18,14,51,-37,12,Relegation to the Second Division
2001-02,1,Ismaily,Ismaily,26,20,6,0,52,14,38,66,Qualification for the Champions League
2001-02,2,Al Ahly,Ismaily,26,20,4,2,50,17,33,64,Qualification for the CAF Cup
2001-02,3,Zamalek,Ismaily,26,16,5,5,58,37,21,53,Qualification for the Champions League
2001-02,4,Ghazl El Mahalla,Ismaily,26,9,8,9,28,28,0,35,Not Applicable
2001-02,5,Al Mokawloon Al Arab,Ismaily,26,8,9,9,32,31,1,33,Not Applicable
2001-02,6,Goldi,Ismaily,26,8,8,10,26,34,-8,32,Not Applicable
2001-02,7,Al Masry,Ismaily,26,7,9,10,24,33,-9,30,Not Applicable
2001-02,8,Tersana,Ismaily,26,8,6,12,36,45,-9,30,Not Applicable
2001-02,9,El Mansoura,Ismaily,26,8,7,11,27,31,-4,31,Not Applicable
2001-02,10,Ghazl El Mahalla,Ismaily,26,6,10,10,30,34,-4,28,Qualification for the CAF Cup
2001-02,11,Al Itthad Al Sakandary,Ismaily,26,6,9,11,23,32,-9,27,Not Applicable
2001-02,12,Ghazl El Suez ,Ismaily,26,7,5,14,29,40,-11,26,Relegation to the Second Division
2001-02,13,El Qanah ,Ismaily,26,6,6,14,37,46,-9,24,Relegation to the Second Division
2001-02,14,Sohag ,Ismaily,26,1,12,13,23,53,-30,15,Relegation to the Second Division
2002-03,1,Zamalek,Zamalek,26,21,4,1,57,10,47,67,Qualification to Champions League
2002-03,2,Al Ahly,Zamalek,26,21,3,2,53,13,40,66,Qualification to Champions League
2002-03,3,Ismaily,Zamalek,26,13,7,6,35,22,13,46,Qualification to Confederation Cup
2002-03,4,ENPPI,Zamalek,26,11,9,6,33,19,14,42,Not Applicable
2002-03,5,Sawahel,Zamalek,26,11,8,7,30,21,9,41,Not Applicable
2002-03,6,Al Masry,Zamalek,26,9,6,11,22,26,-4,33,Not Applicable
2002-03,7,Ghazl El Mahalla,Zamalek,26,7,10,9,22,25,-3,31,Not Applicable
2002-03,8,Baladiyyat Al-Mehalla,Zamalek,26,8,7,11,21,29,-8,31,Not Applicable
2002-03,9,Al Itthad Al Sakandary,Zamalek,26,9,4,13,24,36,-12,31,Not Applicable
2002-03,10,Tersana,Zamalek,26,8,6,12,32,43,-11,30,Not Applicable
2002-03,11,El Mansoura,Zamalek,26,7,8,11,20,26,-6,29,Not Applicable
2002-03,12,Al Mokawloon Al Arab,Zamalek,26,5,13,8,23,25,-2,28,Relegation to the Second Division
2002-03,13,Goldi,Zamalek,26,4,4,18,19,43,-24,16,Relegation to the Second Division
2002-03,14,Aswan,Zamalek,26,2,3,21,15,68,-53,9,Not Applicable
2003-04,1,Zamalek,Zamalek,26,21,5,0,59,16,43,68,Qualification for the Champions League
2003-04,2,Al Ahly,Zamalek,26,19,2,5,56,20,36,59,Qualification for the Champions League
2003-04,3,Ismaily,Zamalek,26,15,6,5,37,25,12,51,Qualification for the Confederation Cup
2003-04,4,Ghazl El Mahalla,Zamalek,26,12,7,7,28,28,0,43,Not Applicable
2003-04,5,Al Itthad Al Sakandary,Zamalek,26,12,6,8,36,34,2,42,Not Applicable
2003-04,6,ENPPI,Zamalek,26,10,10,6,28,22,6,40,Not Applicable
2003-04,7,Haras El Hedood,Zamalek,26,8,10,8,33,26,7,34,Not Applicable
2003-04,8,Al Masry,Zamalek,26,8,8,10,31,31,0,32,Not Applicable
2003-04,9,El Mansoura,Zamalek,26,8,7,11,22,0,22,31,Not Applicable
2003-04,10,Ghazl El Mahalla,Zamalek,26,8,6,12,24,33,-9,30,Not Applicable
2003-04,11,Tersana,Zamalek,26,6,8,12,31,39,-8,26,Not Applicable
2003-04,12,Aswan,Zamalek,26,6,4,16,25,47,-22,22,Relegation to the Second Division
2003-04,13,El Qanah,Zamalek,26,3,3,20,16,42,-26,12,Relegation to the Second Division
2003-04,14,Koroum,Zamalek,26,2,6,18,20,51,-31,12,Relegation to the Second Division
2004-05,1,Al Ahly,Al Ahly,26,24,2,0,59,13,46,74,Qualification for 2006 CAF Champions League
2004-05,2,ENPPI,Al Ahly,26,11,10,5,43,26,17,43,Qualification for 2006 CAF Champions League
2004-05,3,Haras El Hedood,Al Ahly,26,10,9,7,42,33,9,39,Qualification for 2006 CAF Confederation Cup
2004-05,4,Ismaily,Al Ahly,26,10,9,7,30,25,5,39,Not Applicable
2004-05,5,Asmant El-Suweis,Al Ahly,26,10,7,9,29,31,-2,37,Not Applicable
2004-05,6,Zamalek,Al Ahly,26,9,9,8,37,30,7,36,Not Applicable
2004-05,7,Al Masry,Al Ahly,26,7,11,8,29,22,7,32,Not Applicable
2004-05,8,Ghazl El Mahalla,Al Ahly,26,8,7,11,25,28,-3,31,Not Applicable
2004-05,9,Al Itthad Al Sakandary,Al Ahly,26,9,4,13,25,37,-12,31,Qualification for 2006 CAF Confederation Cup
2004-05,10,Tala'ea El Gaish,Al Ahly,26,7,9,10,23,33,-10,30,Not Applicable
2004-05,11,Asmant Asyut,Al Ahly,26,7,8,11,24,36,-12,29,Not Applicable
2004-05,12,Baladiyyat Al-Mehalla,Al Ahly,26,6,8,12,27,42,-15,26,Relegation to Egyptian Second Division
2004-05,13,Tersana,Al Ahly,26,6,7,13,25,42,-17,25,Relegation to Egyptian Second Division
2004-05,14,Mansoura,Al Ahly,26,4,8,14,18,38,-20,20,Relegation to Egyptian Second Division
2005-06,1,Al Ahly,Al Ahly,26,23,3,0,57,6,51,72,Qualification for 2007 CAF Champions League
2005-06,2,Zamalek,Al Ahly,26,18,4,4,48,22,26,58,Qualification for 2007 CAF Champions League
2005-06,3,ENPPI,Al Ahly,26,13,7,6,32,18,14,46,Qualification for 2007 CAF Confederation Cup
2005-06,4,Ismaily,Al Ahly,26,12,3,11,33,32,1,39,Qualification for 2007 CAF Confederation Cup
2005-06,5,Haras El Hedood,Al Ahly,26,11,5,10,35,25,10,38,Not Applicable
2005-06,6,Tala'ea El Gaish,Al Ahly,26,10,4,12,33,28,5,34,Not Applicable
2005-06,7,Al Itthad Al Sakandary,Al Ahly,26,8,8,10,19,28,-9,32,Not Applicable
2005-06,8,Al Masry,Al Ahly,26,8,7,11,27,30,-3,31,Not Applicable
2005-06,9,Al Mokawloon Al Arab,Al Ahly,26,8,4,14,26,34,-8,28,Not Applicable
2005-06,10,Asmant El-Suweis,Al Ahly,26,6,10,10,28,45,-17,28,Not Applicable
2005-06,11,Ghazl El Mahalla,Al Ahly,26,6,9,11,21,34,-13,27,Not Applicable
2005-06,12,Asmant Asyut,Al Ahly,26,6,8,12,26,36,-10,26,Relegation to the Second Division
2005-06,13,Al-Aluminium,Al Ahly,26,6,7,13,16,40,-24,25,Relegation to the Second Division
2005-06,14,Koroum,Al Ahly,26,5,5,16,22,41,-19,20,Relegation to the Second Division
2006-07,1,Al Ahly,Al Ahly,30,23,4,3,64,17,47,73,Qualification for CAF Champions League
2006-07,2,Zamalek,Al Ahly,30,21,5,4,58,23,35,68,Qualification for CAF Champions League
2006-07,3,Ismaily,Al Ahly,30,20,7,3,64,23,41,67,Not Applicable
2006-07,4,Tala'ea El Gaish,Al Ahly,30,11,11,8,31,29,2,44,Not Applicable
2006-07,5,Haras El Hedood,Al Ahly,30,12,8,10,36,39,-3,44,Qualification for CAF Confederation Cup
2006-07,6,Ghazl El Mahalla,Al Ahly,30,12,6,12,33,28,5,42,Not Applicable
2006-07,7,Petrojet,Al Ahly,30,9,13,8,36,39,-3,40,Not Applicable
2006-07,8,Al Mokawloon Al Arab,Al Ahly,30,9,10,11,21,30,-9,37,Not Applicable
2006-07,9,ENPPI,Al Ahly,30,8,11,11,21,26,-5,35,Not Applicable
2006-07,10,Al Masry,Al Ahly,30,9,8,13,23,33,-10,35,Not Applicable
2006-07,11,Asmant El-Suweis,Al Ahly,30,9,6,15,25,39,-14,33,Not Applicable
2006-07,12,Tersana,Al Ahly,30,6,13,11,26,28,-2,31,Not Applicable
2006-07,13,Al Itthad Al Sakandary,Al Ahly,30,7,10,13,27,40,-13,31,Not Applicable
2006-07,14,Tanta,Al Ahly,30,5,11,14,20,37,-17,26,Relegation to the Second Division
2006-07,15,Petrol Asyut,Al Ahly,30,4,10,16,21,44,-23,22,Relegation to the Second Division
2006-07,16,El-Olympi,Al Ahly,30,5,7,18,22,53,-31,22,Relegation to the Second Division
2007-08,1,Al Ahly,Al Ahly,30,21,7,2,47,22,25,70,Qualification for 2009 CAF Champions League
2007-08,2,Ismaily,Al Ahly,30,14,11,5,47,27,20,53,Not Applicable
2007-08,3,Zamalek,Al Ahly,30,16,5,9,45,30,15,53,Not Applicable
2007-08,4,Tala'ea El Gaish,Al Ahly,30,14,9,7,33,22,11,51,Not Applicable
2007-08,5,Petrojet,Al Ahly,30,13,7,10,51,38,13,46,Not Applicable
2007-08,6,Haras El Hedood,Al Ahly,30,11,13,6,38,26,12,46,Qualification for 2009 CAF Confederation Cup
2007-08,7,ENPPI,Al Ahly,30,12,10,8,42,33,9,46,Qualification for 2009 CAF Confederation Cup
2007-08,8,Ghazl El Mahalla,Al Ahly,30,12,7,11,45,37,8,43,Not Applicable
2007-08,9,Al Masry,Al Ahly,30,7,13,10,29,32,-3,34,Not Applicable
2007-08,10,Al Itthad Al Sakandary,Al Ahly,30,7,12,11,32,39,-7,33,Not Applicable
2007-08,11,Tersana,Al Ahly,30,8,8,14,30,40,-10,32,Not Applicable
2007-08,12,Al Mokawloon Al Arab,Al Ahly,30,6,13,11,34,38,-4,31,Not Applicable
2007-08,13,Itesalat,Al Ahly,30,8,7,15,25,46,-21,31,Not Applicable
2007-08,14,Al-Aluminium,Al Ahly,30,7,9,14,29,50,-21,30,Relegation to the Second Division
2007-08,15,Baladiyyat Al-Mehalla,Al Ahly,30,5,10,15,23,40,-17,25,Relegation to the Second Division
2007-08,16,Asmant El-Suweis,Al Ahly,30,5,7,18,27,57,-30,22,Relegation to the Second Division
2008-09,1,Al Ahly,Al Ahly,30,18,9,3,52,25,27,63,Qualification for 2010 CAF Champions League
2008-09,2,Ismaily,Al Ahly,30,20,3,7,52,31,21,63,Qualification for 2010 CAF Champions League
2008-09,3,Petrojet,Al Ahly,30,13,12,5,47,38,9,51,Qualification for 2010 CAF Confederation Cup
2008-09,4,Haras El Hedood,Al Ahly,30,14,8,8,34,22,12,50,Qualification for 2010 CAF Confederation Cup
2008-09,5,ENPPI,Al Ahly,30,13,10,7,49,39,10,49,Not Applicable
2008-09,6,Zamalek,Al Ahly,30,11,9,10,34,29,5,42,Not Applicable
2008-09,7,Tala'ea El Gaish,Al Ahly,30,10,8,12,40,50,-10,38,Not Applicable
2008-09,8,Al Masry,Al Ahly,30,9,10,11,36,34,2,37,Not Applicable
2008-09,9,Ittihad El Shorta,Al Ahly,30,9,10,11,28,29,-1,37,Not Applicable
2008-09,10,Al Mokawloon Al Arab,Al Ahly,30,8,13,9,35,37,-2,37,Not Applicable
2008-09,11,Al Itthad Al Sakandary,Al Ahly,30,10,7,13,29,35,-6,37,Not Applicable
2008-09,12,Ghazl El Mahalla,Al Ahly,30,8,9,13,20,26,-6,33,Not Applicable
2008-09,13,Asyut Petroleum,Al Ahly,30,9,6,15,25,39,-14,33,Not Applicable
2008-09,14,Itesalat,Al Ahly,30,7,11,12,43,46,-3,32,Relegation to the Second Division
2008-09,15,Tersana,Al Ahly,30,5,9,16,28,45,-17,24,Relegation to the Second Division
2008-09,16,El-Olympi,Al Ahly,30,6,7,17,30,57,-27,24,Relegation to the Second Division
2009-10,1,Al Ahly,Al Ahly,30,18,11,1,47,23,24,65,Qualification for 2011 CAF Champions League
2009-10,2,Zamalek,Al Ahly,30,16,7,7,43,26,17,55,Qualification for 2011 CAF Champions League
2009-10,3,Ismaily,Al Ahly,30,11,15,4,34,25,9,48,Qualification for 2011 CAF Confederation Cup
2009-10,4,Petrojet,Al Ahly,30,13,8,9,42,37,5,47,Not Applicable
2009-10,5,Ittihad El Shorta,Al Ahly,30,12,11,7,35,24,11,47,Not Applicable
2009-10,6,Haras El Hedood,Al Ahly,30,11,12,7,39,31,8,45,Qualification for 2011 CAF Confederation Cup
2009-10,7,El Entag El Harby,Al Ahly,30,11,8,11,36,32,4,41,Not Applicable
2009-10,8,ENPPI,Al Ahly,30,10,11,9,29,34,-5,41,Not Applicable
2009-10,9,Tala'ea El Gaish,Al Ahly,30,9,13,8,42,38,4,40,Not Applicable
2009-10,10,Al Itthad Al Sakandary,Al Ahly,30,9,8,13,27,36,-9,35,Not Applicable
2009-10,11,Al Mokawloon Al Arab,Al Ahly,30,7,13,10,36,34,2,34,Not Applicable
2009-10,12,El Gouna,Al Ahly,30,8,10,12,26,32,-6,34,Not Applicable
2009-10,13,Al Masry,Al Ahly,30,6,16,8,28,35,-7,34,Not Applicable
2009-10,14,Ghazl El Mahalla,Al Ahly,30,7,10,13,17,30,-13,31,Relegation to the Second Division
2009-10,15,Mansoura,Al Ahly,30,3,10,17,21,37,-16,19,Relegation to the Second Division
2009-10,16,Asyut Petroleum,Al Ahly,30,4,7,19,29,56,-27,19,Relegation to the Second Division
2010-11,1,Al Ahly,Al Ahly,30,16,13,1,47,27,20,61,Qualification for 2012 CAF Champions League
2010-11,2,Zamalek,Al Ahly,30,15,11,4,49,32,17,56,Qualification for 2012 CAF Champions League
2010-11,3,Ismaily,Al Ahly,30,14,7,9,48,33,15,49,Not Applicable
2010-11,4,Ittihad El Shorta,Al Ahly,30,12,11,7,31,23,8,47,Not Applicable
2010-11,5,ENPPI,Al Ahly,30,13,8,9,37,30,7,47,Qualification for 2012 CAF Confederation Cup
2010-11,6,Misr El Makasa,Al Ahly,30,10,15,5,41,28,13,45,Not Applicable
2010-11,7,Al Masry,Al Ahly,30,10,13,7,28,22,6,43,Not Applicable
2010-11,8,Haras El Hedood,Al Ahly,30,11,6,13,40,39,1,39,Not Applicable
2010-11,9,Tala'ea El Gaish,Al Ahly,30,8,12,10,25,31,-6,36,Not Applicable
2010-11,10,Petrojet,Al Ahly,30,9,8,13,31,38,-7,35,Not Applicable
2010-11,11,El Gouna,Al Ahly,30,8,10,12,26,33,-7,34,Not Applicable
2010-11,12,Wadi Degla,Al Ahly,30,9,6,15,39,49,-10,33,Not Applicable
2010-11,13,El Entag El Harby,Al Ahly,30,7,12,11,33,44,-11,33,Not Applicable
2010-11,14,Al Itthad Al Sakandary,Al Ahly,30,7,9,14,36,51,-15,30,Not Applicable
2010-11,15,Smouha,Al Ahly,30,6,10,14,33,45,-12,28,Not Applicable
